FID,LAT,LONG,ELEV
0,47.65625,-123.34375,1383
1,47.65625,-123.40625,1074
2,47.65625,-123.46875,1214
3,47.65625,-123.53125,1042
4,47.71875,-123.28125,1426
5,47.71875,-123.34375,1513
6,47.71875,-123.40625,1450
7,47.71875,-123.46875,1142
8,47.71875,-123.53125,1158
9,47.71875,-123.59375,1264
10,47.71875,-123.65625,1161
11,47.78125,-123.28125,1322
12,47.78125,-123.34375,1544
13,47.78125,-123.40625,1288
14,47.78125,-123.46875,1026
15,47.78125,-123.53125,1214
16,47.78125,-123.59375,1407
17,47.78125,-123.65625,1373
18,47.84375,-123.28125,1598
19,47.84375,-123.34375,1642
20,47.84375,-123.40625,1433
21,47.84375,-123.46875,847
22,47.84375,-123.53125,1171
23,47.84375,-123.59375,1417
24,47.84375,-123.65625,1292
25,47.90625,-123.34375,1626
26,47.90625,-123.40625,1475
27,47.90625,-123.46875,985
28,47.90625,-123.53125,969
29,47.90625,-123.59375,1243
30,47.90625,-123.65625,1389
31,47.90625,-123.71875,1066
32,47.90625,-123.78125,1120
33,47.96875,-123.40625,1206
34,47.96875,-123.46875,1239
35,47.96875,-123.53125,1020
36,47.96875,-123.59375,604
37,47.96875,-123.65625,925
38,47.96875,-123.71875,1270
39,47.96875,-123.78125,1151
40,48.03125,-123.40625,793
41,48.03125,-123.46875,900
42,48.03125,-123.53125,871
43,48.03125,-123.59375,468
44,48.03125,-123.65625,1066
45,48.03125,-123.71875,1118
46,48.03125,-123.78125,902
47,48.09375,-123.40625,174
48,48.09375,-123.46875,229
49,48.09375,-123.53125,249
50,48.09375,-123.59375,195
51,48.09375,-123.65625,281
52,48.09375,-123.71875,399
53,48.09375,-123.78125,365
