OBJECTID *	arcid	grid_code	from_node	to_node	Shape_Length	local	downarc	SELEV	EELEV	MAXGRID	uparc	dz	slope	meanmsq	segorder	chanclass	hyddepth	hydwidth	effwidth	effdepth	MIN_SOILDEPTH	segdepth
1	1	2	1	2	123.63961	130	-1	0.4	0.7	924617	2	0.3	0.002426	832213800	66	12	4.5	0.05	0.35	1.868101	1.966422	1.966422
2	2	3	3	1	614.558441	557	1	0.7	0.4	922050	5	0.3	0.000488	830095200	65	6	4.5	0.03	0.21	1.359857	1.431428	1.431428
3	3	1	4	1	1757.314934	1980	1	20.8	0.4	1103	-1	20.4	0.011609	891000	1	7	0.5	0.05	0.1	1.662219	1.756651	1.749704
4	4	4	5	3	793.050865	1292	2	14.6	0.7	0	-1	13.9	0.017527	581400	1	7	0.5	0.05	0.1	1.417943	1.573801	1.492572
5	5	5	6	3	2283.380951	3553	2	10.1	0.7	917201	7	9.4	0.004117	827079300	64	12	4.5	0.05	0.35	1.196116	1.325151	1.25907
6	6	7	7	6	2212.64502	1836	5	106.3	10.1	1155	-1	96.2	0.043477	826200	1	7	0.5	0.05	0.1	0.92776	0.97659	0.97659
7	7	6	8	6	1970.954544	3860	5	22.3	10.1	911520	8	12.2	0.00619	822105000	63	12	4.5	0.05	0.35	0.965063	1.015856	1.015856
8	8	8	10	8	1957.64502	3640	7	61.6	22.3	905622	11	39.3	0.020075	816697800	62	12	4.5	0.05	0.35	0.849184	1.079288	0.893878
9	9	9	11	8	2587.203461	2251	7	290	22.3	1049	-1	267.7	0.103471	1012500	1	14	1	0.1	0.3	0.701395	0.82641	0.73831
10	10	11	13	10	523.050865	1653	8	61.6	61.6	8	-1	0	0.00001	743400	1	1	0.5	0.03	0.06	0.920265	1.547324	0.9687
11	11	12	15	10	704.558441	215	8	61.6	61.6	903771	24	0	0.00001	813490200	61	6	4.5	0.03	0.21	0.851747	0.916999	0.896576
12	12	16	16	15	75	1370	11	61.6	61.6	1003	-1	0	0.00001	616500	1	1	0.5	0.03	0.06	1.096766	1.15449	1.15449
13	13	13	12	18	1767.609307	3558	17	193	161.6	1143	-1	31.4	0.017764	1601100	1	8	1	0.05	0.15	1.126231	1.217122	1.185506
14	14	14	14	18	570.624458	1218	17	268	161.6	963	-1	106.4	0.186462	548100	1	13	0.5	0.1	0.2	0.798778	0.996935	0.84082
15	15	10	9	19	1879.446968	2642	16	284.5	166.4	31	-1	118.1	0.062838	1188900	1	8	1	0.05	0.15	0.955915	1.006226	1.006226
16	16	19	19	20	2061.837662	1425	18	166.4	161.6	4476	28	4.8	0.002328	4669200	2	8	1	0.05	0.15	1.302362	1.448607	1.370907
