OBJECTID	Shape_Length	local_ca	downarc	slope	total_ca	segorder	channelclassid				
1	750	100	-1	0.00107	100	57	6				
2	1748.52814	100	1	0.57437	100	56	18			
3	1898.52814	100	1	0.55506	100	1	14				
4	786.3961	100	2	0.00114	100	55	6				
5	150	100	4	0.00001	100	54	6				
6	212.13203	100	4	0.00707	100	3	8				
7	1960.66017	100	2	0.03438	100	1	14				
8	786.3961	100	6	0.01272	100	2	14				
9	662.13203	100	8	0.05271	100	1	14				
10	3683.45238	100	5	0.06578	100	2	15				
11	4795.58441	100	10	0.12695	100	1	14				
12	786.3961	100	8	0.07312	100	1	14				
13	1934.92424	100	6	0.04693	100	1	14				
14	874.26407	100	10	0.01018	100	1	14				
15	1412.13203	100	18	0.10736	100	1	14				
16	212.13203	100	20	0.06977	100	1	14				
17	1112.13203	100	20	0.04568	100	1	14				
18	750	100	23	0.13	100	2	15				
19	6368.37662	100	5	0.00237	100	53	12				
20	724.26407	100	19	0.11142	100	2	14				
21	5121.32034	100	18	0.11044	100	1	14				
22	1148.52814	100	23	0.38745	100	1	14				
23	1722.79221	100	24	0.09676	100	3	16				
24	1148.52814	100	19	0.00261	100	52	12				
25	1298.52814	100	24	0.00231	100	51	12				
26	662.13203	100	54	0.06071	100	1	14				
27	1360.66017	100	54	0.11891	100	1	14				
28	512.13203	100	25	0.03398	100	1	14				
29	3471.32034	100	34	0.05511	100	1	14				
30	1660.66017	100	25	0.00301	100	50	12				
31	1298.52814	100	34	0.24366	100	1	14				
32	512.13203	100	30	0.00508	100	49	12				
33	1148.52814	100	30	0.00444	100	1	8				
34	1960.66017	100	32	0.02657	100	2	15				
35	600	100	43	0.26283	100	1	14				
36	2297.05627	100	43	0.13448	100	1	14				
37	450	100	65	0.06089	100	1	14				
38	1174.26407	100	32	0.00307	100	48	12				
39	812.13203	100	40	0.19504	100	1	14				
40	1448.52814	100	65	0.00711	100	43	12				
41	2659.18831	100	53	0.28242	100	1	14				
42	1536.3961	100	47	0.31691	100	1	14				
43	1412.13203	100	69	0.05977	100	2	15				
44	1712.13203	100	69	0.21961	100	1	14				
45	962.13203	100	47	0.10903	100	2	15				
46	786.3961	100	45	0.44405	100	1	14				
47	3848.52814	100	53	0.06156	100	3	16				
48	636.3961	100	55	0.25157	100	1	14				
49	1386.3961	100	55	0.30374	100	1	14				
50	1536.3961	100	38	0.00306	100	47	12				
51	3134.92424	100	45	0.16983	100	1	14				
52	1112.13203	100	50	0.11788	100	1	14				
53	1660.66017	100	62	0.07286	100	4	17				
54	4634.92424	100	62	0.09845	100	2	15				
55	574.26407	100	73	0.1414	100	2	14				
56	150	100	73	0.07533	100	2	15				
57	2136.3961	100	56	0.18063	100	1	14				
58	2560.66017	100	38	0.00445	100	1	8				
59	2172.79221	100	40	0.00727	100	42	12				
60	636.3961	100	63	0.32998	100	1	14				
61	1810.66017	100	63	0.12592	100	1	14				
62	3047.05627	100	59	0.05842	100	5	18				
63	812.13203	100	72	0.10195	100	2	15				
64	900	100	72	0.27344	100	1	14				
65	5333.45238	100	75	0.00497	100	44	12				
66	1997.05627	100	56	0.20705	100	1	14				
67	1774.26407	100	50	0.00192	100	46	6				
68	1448.52814	100	91	0.17397	100	1	14				
69	3047.05627	100	89	0.02632	100	3	16				
70	662.13203	100	89	0.28892	100	1	14				
71	812.13203	100	91	0.08496	100	1	14				
72	724.26407	100	76	0.07677	100	3	15				
73	3983.45238	100	76	0.0474	100	3	16				
74	750	100	67	0.00213	100	40	12				
75	3709.18831	100	67	0.00647	100	45	12				
76	450	100	82	0.02689	100	4	18				
77	2022.79221	100	74	0.11188	100	1	14				
78	512.13203	100	74	0.00137	100	39	6				
79	2436.3961	100	75	0.00874	100	1	8				
80	2834.92424	100	59	0.00667	100	41	12				
81	7956.24458	100	80	0.07969	100	3	16				
82	1572.79221	100	98	0.02194	100	5	18				
83	512.13203	100	81	0.3214	100	1	14				
84	1024.26407	100	80	0.00586	100	40	12				
85	450	100	84	0.07511	100	1	14				
86	1174.26407	100	78	0.00545	100	1	8				
87	1360.66017	100	81	0.07621	100	2	15				
88	2074.26407	100	87	0.14492	100	1	14				
89	2136.3961	100	94	0.03028	100	4	17				
90	900	100	94	0.32678	100	1	14				
91	4707.71645	100	93	0.07541	100	2	15				
92	2809.18831	100	78	0.06539	100	1	14				
93	212.13203	100	107	0.01509	100	3	16				
94	150	100	107	0.01933	100	5	17				
95	600	100	87	0.25533	100	1	14				
96	2110.66017	100	78	0.00298	100	38	12				
97	1148.52814	100	84	0.00522	100	39	12				
98	1784.92424	100	128	0.01877	100	6	18				
99	300	100	128	0.08767	100	1	14				
100	5131.98052	100	82	0.13145	100	1	14				
101	212.13203	100	96	0.00047	100	37	6				
102	212.13203	100	97	0.00424	100	38	12				
103	424.26407	100	96	0.00236	100	3	9				
104	1748.52814	100	105	0.00949	100	1	8				
105	300	100	103	0.06067	100	2	14				
106	512.13203	100	97	0.02382	100	1	14				
107	1086.3961	100	155	0.01546	100	6	18				
108	812.13203	100	103	0.03411	100	1	14				
109	3259.18831	100	93	0.2106	100	1	14				
110	636.3961	100	111	0.18888	100	1	14				
111	1148.52814	100	102	0.00636	100	37	12				
112	2772.79221	100	98	0.19846	100	1	14				
113	1598.52814	100	101	0.00757	100	1	8				
114	874.26407	100	101	0.00252	100	36	12				
115	2772.79221	100	105	0.06456	100	1	14				
116	512.13203	100	111	0.00976	100	36	12				
117	724.26407	100	116	0.15878	100	1	14				
118	1448.52814	100	114	0.00207	100	35	12				
119	998.52814	100	132	0.2065	100	1	14				
120	1024.26407	100	132	0.15611	100	1	14				
121	874.26407	100	114	0.00446	100	2	9				
122	512.13203	100	116	0.01523	100	35	18				
123	1898.52814	100	102	0.02344	100	3	15				
124	212.13203	100	122	0.00754	100	1	8				
125	2571.32034	100	155	0.28242	100	1	14				
126	1774.26407	100	123	0.2955	100	1	14				
127	1510.66017	100	118	0.01019	100	1	14				
128	3021.32034	100	150	0.02899	100	7	18				
129	2560.66017	100	152	0.28735	100	1	14				
130	1174.26407	100	118	0.00426	100	34	12				
131	362.13203	100	152	0.01905	100	5	18				
132	1298.52814	100	133	0.16719	100	2	14				
133	1500	100	131	0.03687	100	4	18				
134	300	100	133	0.07	100	3	16				
135	212.13203	100	130	0.0033	100	33	12				
136	150	100	135	0.00533	100	1	8				
137	1324.26407	100	150	0.33377	100	1	14				
138	150	100	135	0.008	100	32	12				
139	1598.52814	100	121	0.00632	100	1	8				
140	2886.3961	100	134	0.04771	100	2	16				
141	1898.52814	100	140	0.17408	100	1	14				
142	1748.52814	100	123	0.15756	100	2	14				
143	150	100	142	0.34867	100	1	14				
144	1748.52814	100	122	0.00406	100	34	12				
145	5007.71645	100	121	0.15288	100	1	14				
146	1722.79221	100	144	0.00685	100	33	12				
147	2384.92424	100	138	0.00386	100	31	12				
148	1562.13203	100	138	0.0064	100	1	8				
149	2384.92424	100	146	0.00683	100	32	12				
150	2384.92424	100	161	0.05074	100	8	18				
151	786.3961	100	161	0.50992	100	1	14				
152	3895.58441	100	156	0.01997	100	6	18				
153	2022.79221	100	144	0.16957	100	1	14				
154	2322.79221	100	149	0.00818	100	31	12				
155	6342.64069	100	154	0.04922	100	7	18				
156	636.3961	100	177	0.02577	100	7	18				
157	2509.18831	100	140	0.12135	100	1	14				
158	786.3961	100	149	0.01183	100	1	14				
159	2322.79221	100	142	0.2066	100	1	14				
160	636.3961	100	154	0.00943	100	30	12				
161	1024.26407	100	172	0.04286	100	9	18				
162	1572.79221	100	156	0.36756	100	1	14				
163	1748.52814	100	146	0.03843	100	2	16				
164	786.3961	100	177	0.3689	100	1	14				
165	3284.92424	100	134	0.2095	100	1	14				
166	636.3961	100	160	0.01241	100	29	18				
167	4283.45238	100	147	0.00581	100	1	8				
168	450	100	166	0.36911	100	1	14				
169	936.3961	100	170	0.05158	100	1	14				
170	1324.26407	100	174	0.0117	100	26	18				
171	300	100	175	0.01567	100	24	18				
172	1960.66017	100	171	0.01377	100	23	18				
173	2498.52814	100	166	0.01049	100	28	18				
174	662.13203	100	173	0.01344	100	27	18				
175	2048.52814	100	170	0.01206	100	25	18				
176	2984.92424	100	172	0.01471	100	22	18				
177	3859.18831	100	176	0.05877	100	8	18				
178	5892.64069	100	130	0.03723	100	4	17				
179	1024.26407	100	178	0.2225	100	1	14				
180	4272.79221	100	131	0.15554	100	1	14				
181	1598.52814	100	171	0.20869	100	1	14				
182	1298.52814	100	173	0.37273	100	1	14				
183	1598.52814	100	199	0.11592	100	1	14				
184	150	100	199	0.21	100	1	14				
185	1774.26407	100	175	0.29996	100	1	14				
186	2084.92424	100	176	0.01904	100	21	18				
187	4945.58441	100	147	0.00546	100	30	12				
188	750	100	187	0.14067	100	1	14				
189	1660.66017	100	193	0.19155	100	1	14				
190	362.13203	100	193	0.17784	100	1	14				
191	750	100	219	0.39267	100	1	14				
192	2710.66017	100	174	0.09706	100	5	18				
193	786.3961	100	195	0.12716	100	2	14				
194	812.13203	100	192	0.43946	100	1	14				
195	2586.3961	100	219	0.05119	100	3	16				
196	812.13203	100	187	0.00259	100	29	12				
197	3983.45238	100	163	0.14211	100	1	14				
198	1324.26407	100	195	0.09099	100	2	14				
199	2809.18831	100	200	0.12901	100	2	14				
200	3021.32034	100	178	0.05369	100	3	16				
201	1324.26407	100	198	0.17595	100	1	14				
